tensor(12.4187, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8438, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.2599, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.8641, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.4639, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.6001, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.5998, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6581, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.7120, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.3362, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.0526, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.2200, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6567, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.3362, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.4022, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.1774, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.7296, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.1682, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.1815, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6470, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.0949, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.6571, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.2792, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.9770, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.8743, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.4204, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.3131, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.1986, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.7424, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.9040, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.1447, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.0870, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6598, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.1480, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9080, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.1832, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.9231, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.2677, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.9605, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.4295, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.0594, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.8194, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.6167, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9374, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.0696, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6689, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.1372, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.9604, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.3372, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.4584, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9459, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.4978, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.4842, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.5452, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.1065, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.0626, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9019, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.8458, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6767, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.5984, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.1562, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.1492, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.8767, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1862, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.4218, device='cuda:0', grad_fn=<MulBackward0>)
